50904|2020-07-09|t|150.00|150.00|1|40
50904|2020-07-10|t|155.00|155.00|2|40
50904|2020-07-11|t|155.00|155.00|2|40
50904|2020-07-12|t|150.00|150.00|1|40
50904|2020-07-13|t|150.00|150.00|1|40
50904|2020-07-14|t|150.00|150.00|1|40
50904|2020-07-15|t|150.00|150.00|1|40
50904|2020-07-16|t|150.00|150.00|1|40
50904|2020-07-17|t|155.00|155.00|2|40
50904|2020-07-18|t|155.00|155.00|2|40
50904|2020-07-19|t|150.00|150.00|1|40
50904|2020-07-20|t|150.00|150.00|1|40
50904|2020-07-21|t|150.00|150.00|1|40
50904|2020-07-22|t|150.00|150.00|1|40
50904|2020-07-23|t|150.00|150.00|1|40
50904|2020-07-24|t|155.00|155.00|2|40
50904|2020-07-25|t|155.00|155.00|2|40
50904|2020-07-26|t|150.00|150.00|1|40
50904|2020-07-27|t|150.00|150.00|1|40
50904|2020-07-28|t|150.00|150.00|1|40
50904|2020-07-29|t|150.00|150.00|1|40
50904|2020-07-30|t|150.00|150.00|1|40
50904|2020-07-31|t|155.00|155.00|2|40
50904|2020-08-01|t|155.00|155.00|2|40
50904|2020-08-02|t|150.00|150.00|1|40
50904|2020-08-03|t|150.00|150.00|1|40
50904|2020-08-04|t|150.00|150.00|1|40
50904|2020-08-05|t|150.00|150.00|1|40
5923754|2020-08-19|f|51.00|51.00|1|99
5923754|2020-08-20|f|51.00|51.00|1|99
5923754|2020-08-21|f|64.00|64.00|1|99
5923754|2020-08-22|t|64.00|64.00|1|99
5923754|2020-08-23|t|51.00|51.00|1|99
5923754|2020-08-24|t|51.00|51.00|1|99
5923754|2020-08-25|t|51.00|51.00|1|99
5923754|2020-08-26|t|51.00|51.00|1|99
5923754|2020-08-27|t|51.00|51.00|1|99
5923754|2020-08-28|t|64.00|64.00|1|99
5923754|2020-08-29|t|64.00|64.00|1|99
5923754|2020-08-30|t|51.00|51.00|1|99
5923754|2020-08-31|t|51.00|51.00|1|99
5923754|2020-09-01|t|64.00|64.00|1|99
5923754|2020-09-02|t|64.00|64.00|1|99
5923754|2020-09-03|t|64.00|64.00|1|99
5923754|2020-09-04|t|103.00|103.00|1|99
5923754|2020-09-05|t|103.00|103.00|1|99
5923754|2020-09-06|t|61.00|61.00|1|99
5923754|2020-09-07|t|64.00|64.00|1|99
5923754|2020-09-08|t|64.00|64.00|1|99
5923754|2020-09-09|t|64.00|64.00|1|99
5923754|2020-09-10|t|64.00|64.00|1|99
5923754|2020-09-11|t|103.00|103.00|1|99
5923754|2020-09-12|t|103.00|103.00|1|99
5923754|2020-09-13|t|61.00|61.00|1|99
5923754|2020-09-14|t|64.00|64.00|1|99
5923754|2020-09-15|t|64.00|64.00|1|99
5923754|2020-09-16|t|64.00|64.00|1|99
5923754|2020-09-17|t|64.00|64.00|1|99
5923754|2020-09-18|t|103.00|103.00|1|99
5923754|2020-09-19|t|103.00|103.00|1|99
5923754|2020-09-20|t|61.00|61.00|1|1000
5923754|2020-09-21|t|64.00|64.00|1|1000
5923754|2020-09-22|t|64.00|64.00|1|1000
5923754|2020-09-23|t|64.00|64.00|1|1000
5923754|2020-09-24|t|64.00|64.00|1|1000
5923754|2020-09-25|f|103.00|103.00|1|1000
5923754|2020-09-26|f|103.00|103.00|1|1000
5923754|2020-09-27|t|61.00|61.00|1|1000
5923754|2020-09-28|t|64.00|64.00|1|1000
5923754|2020-09-29|t|64.00|64.00|1|1000
5923754|2020-09-30|t|64.00|64.00|1|1000
5923754|2020-10-01|t|64.00|64.00|1|1000
5923754|2020-10-02|f|103.00|103.00|1|1000
5923754|2020-10-03|f|103.00|103.00|1|1000
5923754|2020-10-04|t|61.00|61.00|1|1000
5923754|2020-10-05|t|64.00|64.00|1|1000
5923754|2020-10-06|t|64.00|64.00|1|1000
5923754|2020-10-07|t|64.00|64.00|1|1000
5923754|2020-10-08|t|64.00|64.00|1|1000
5923754|2020-10-09|t|103.00|103.00|1|1000
5923754|2020-10-10|t|103.00|103.00|1|1000
5923754|2020-10-11|t|61.00|61.00|1|1000
5923754|2020-10-12|t|64.00|64.00|1|1000
5923754|2020-10-13|f|64.00|64.00|1|1000
5923754|2020-10-14|f|64.00|64.00|1|1000
5923754|2020-10-15|f|64.00|64.00|1|1000
5923754|2020-10-16|f|129.00|129.00|1|1000
5923754|2020-10-17|f|129.00|129.00|1|1000
5923754|2020-10-18|t|61.00|61.00|1|1000
5923754|2020-10-19|t|64.00|64.00|1|1000
5923754|2020-10-20|t|64.00|64.00|1|1000
5923754|2020-10-21|t|64.00|64.00|1|1000
5923754|2020-10-22|t|64.00|64.00|1|1000
5923754|2020-10-23|t|103.00|103.00|1|1000
5923754|2020-10-24|t|103.00|103.00|1|1000
5923754|2020-10-25|t|61.00|61.00|1|1000
5923754|2020-10-26|t|64.00|64.00|1|1000
5923754|2020-10-27|t|64.00|64.00|1|1000
5923754|2020-10-28|t|64.00|64.00|1|1000
5923754|2020-10-29|t|64.00|64.00|1|1000
5923754|2020-10-30|t|103.00|103.00|1|1000
5923754|2020-10-31|t|103.00|103.00|1|1000
5923754|2020-11-01|t|61.00|61.00|1|99
50904|2020-08-06|t|150.00|150.00|1|40
50904|2020-08-07|t|155.00|155.00|2|40
50904|2020-08-08|t|155.00|155.00|2|40
50904|2020-08-09|t|150.00|150.00|1|40
50904|2020-08-10|t|150.00|150.00|1|40
50904|2020-08-11|t|150.00|150.00|1|40
50904|2020-08-12|t|150.00|150.00|1|40
50904|2020-08-13|t|150.00|150.00|1|40
50904|2020-08-14|t|155.00|155.00|2|40
50904|2020-08-15|t|155.00|155.00|2|40
50904|2020-08-16|t|150.00|150.00|1|40
50904|2020-08-17|t|150.00|150.00|1|40
50904|2020-08-18|t|150.00|150.00|1|40
50904|2020-08-19|t|150.00|150.00|1|40
50904|2020-08-20|t|150.00|150.00|1|40
50904|2020-08-21|t|155.00|155.00|2|40
50904|2020-08-22|t|155.00|155.00|2|40
50904|2020-08-23|t|150.00|150.00|1|40
50904|2020-08-24|t|150.00|150.00|1|40
50904|2020-08-25|t|150.00|150.00|1|40
50904|2020-08-26|t|150.00|150.00|1|40
50904|2020-08-27|t|150.00|150.00|1|40
50904|2020-08-28|t|155.00|155.00|2|40
50904|2020-08-29|t|155.00|155.00|2|40
50904|2020-08-30|t|150.00|150.00|1|40
50904|2020-08-31|t|150.00|150.00|1|40
50904|2020-09-01|f|150.00|150.00|1|40
50904|2020-09-02|t|150.00|150.00|1|40
50904|2020-09-03|t|150.00|150.00|1|40
50904|2020-09-04|f|155.00|155.00|2|40
